trial_id,phase,image_type,image_attribute,image_position,original_index,image_src,start_time,end_time,duration,first_gaze_x,first_gaze_y,last_gaze_x,last_gaze_y,gaze_samples,dwell_time,first_fixation,regression_count
19,food,food,5_low_calorie,left,5,f/5.jpg,1758449654189,1758449660269,6080,610.2990499154818,512.5650188501031,680.2195811589262,436.1731134217755,99,720,1,10
22,food,food,1_low_calorie,left,1,f/1.jpg,1758449663474,1758449669530,6056,637.4097144758829,484.1094622754863,604.4521670719236,497.28431817858484,99,-880,1,12
25,food,food,10_high_calorie,left,10,f/10.jpg,1758449672336,1758449678399,6063,593.4588642167291,485.70508343553115,706.1270091177454,488.78864624901905,100,-1680,-1,2
28,food,food,12_high_calorie,left,12,f/12.jpg,1758449681204,1758449687269,6065,683.6011076230202,550.6847171628083,386.86676278995964,418.44163539653255,102,-180,-1,12
31,food,food,3_low_calorie,left,3,f/3.jpg,1758449690473,1758449696546,6073,578.4775256171553,444.62936844742205,711.7383961807875,338.5667420353784,100,1060,1,6
34,food,food,2_low_calorie,left,2,f/2.jpg,1758449699551,1758449705615,6064,581.2836053395819,314.76800264429266,966.7287318210342,304.7014191099604,102,440,1,4
37,food,food,20_high_calorie,left,20,f/20.jpg,1758449708821,1758449714929,6108,888.8182802123242,347.46626439939223,730.9882508819348,560.0265359350597,104,-1080,-1,1
40,food,food,11_high_calorie,left,11,f/11.jpg,1758449717738,1758449723797,6059,693.7795148858794,529.8195589103702,440.1855445041554,482.2766404394643,103,540,-1,6
43,food,food,17_high_calorie,left,17,f/17.jpg,1758449727003,1758449733082,6079,549.7571035424154,485.859854168964,588.6265309699621,515.3884844861175,102,900,1,9
46,food,food,18_high_calorie,left,18,f/18.jpg,1758449736086,1758449742158,6072,625.0563329115196,454.69615539922813,732.8406669091065,419.75014094034066,99,-1000,-1,2
49,food,food,15_high_calorie,left,15,f/15.jpg,1758449745364,1758449751428,6064,676.48775315527,400.5546366354836,484.3494002738542,487.29616318973564,102,480,-1,14
52,food,food,19_high_calorie,left,19,f/19.jpg,1758449754433,1758449760485,6052,558.1533444452936,467.8930061477678,837.5994517306103,424.14686596966783,100,40,1,8
55,food,food,13_high_calorie,left,13,f/13.jpg,1758449763290,1758449769386,6096,791.6844979144557,478.30788381545955,1104.6756799231725,418.2324359514917,99,-460,-1,0
58,food,food,7_low_calorie,left,7,f/7.jpg,1758449772191,1758449778287,6096,940.7964008579207,391.5918489040685,846.8944532774037,402.75282450071046,100,1520,1,2
61,food,food,16_high_calorie,left,16,f/16.jpg,1758449781492,1758449787592,6100,780.9842263901828,431.90401553506143,1037.6557104705173,309.7175786626683,100,-1560,-1,7
64,food,food,8_low_calorie,left,8,f/8.jpg,1758449790398,1758449796473,6075,969.8191746120502,246.25240981846787,1017.5097468354087,487.6425669188069,100,680,1,2
67,food,food,14_high_calorie,left,14,f/14.jpg,1758449799277,1758449805344,6067,1024.1545803419872,410.01419023716636,1064.5216840097487,367.2165184445321,101,-480,0,3
70,food,food,4_low_calorie,left,4,f/4.jpg,1758449808149,1758449814216,6067,1129.3742444040292,294.67881274197487,1076.0698543900564,334.35822499536465,100,780,0,1
73,food,food,6_low_calorie,left,6,f/6.jpg,1758449817022,1758449823090,6068,1037.7848137498386,335.32164412394866,945.1063621603507,359.5734914404367,100,1240,0,0
76,food,food,9_high_calorie,left,9,f/9.jpg,1758449825893,1758449831954,6061,903.0724282008503,359.1908856520191,1029.12075174731,327.90537255510304,101,-460,-1,0
88,body,body,13_thin,left,13,b/13.jpg,1758449910505,1758449916575,6070,673.7620473879157,480.5604251061301,761.8299710914097,344.0568587482308,97,920,1,10
91,body,body,16_thin,left,16,b/16.jpg,1758449919380,1758449925436,6056,716.0450104058555,301.31089279967705,760.2257088162448,339.49758963734007,97,900,1,6
94,body,body,9_fat,left,9,b/9.jpg,1758449928242,1758449934319,6077,732.7593970535683,248.59434459454596,624.9649030380141,157.79337854903443,96,-340,-1,20
97,body,body,3_fat,left,3,b/3.jpg,1758449937123,1758449943193,6070,733.6997050458904,114.57184269929358,976.0440650796614,158.83299160925307,94,-1060,0,9
100,body,body,11_fat,left,11,b/11.jpg,1758449946197,1758449952248,6051,811.4225326574219,210.16445441678576,798.6602546511399,217.7627227311703,95,-160,0,19
103,body,body,8_fat,left,8,b/8.jpg,1758449955453,1758449961544,6091,787.3151250995043,195.76361866010924,642.6223611845343,223.5112736498339,95,-200,0,20
106,body,body,21_thin,left,21,b/21.jpg,1758449964748,1758449970802,6054,751.2714138486139,196.9029098455376,725.0605806383194,236.4746171876656,97,760,1,8
109,body,body,18_thin,left,18,b/18.jpg,1758449973607,1758449979672,6065,616.5932172798787,225.01319916114858,657.6713266612081,373.406113398925,95,520,1,14
112,body,body,23_thin,left,23,b/23.jpg,1758449982877,1758449988925,6048,716.1367679160088,338.0176957945046,666.681260573419,192.1163460953796,94,980,1,9
115,body,body,19_thin,left,19,b/19.jpg,1758449991730,1758449997820,6090,673.7656474164281,143.4780461766221,604.2847107680498,328.3950172377053,94,760,0,19
118,body,body,15_thin,left,15,b/15.jpg,1758450000624,1758450006682,6058,590.7174824232328,268.87941142445464,646.3591772992556,290.7848066890884,94,1020,1,5
121,body,body,25_thin,left,25,b/25.jpg,1758450009486,1758450015570,6084,745.7959891350621,255.4101477270763,614.0562099269257,430.0277957454693,94,620,1,9
124,body,body,2_fat,left,2,b/2.jpg,1758450018577,1758450024648,6071,691.9926738872588,451.16149193178126,492.26995786270857,319.6615366606502,96,520,-1,11
127,body,body,14_thin,left,14,b/14.jpg,1758450027654,1758450033795,6141,891.02766757899,498.8267709924823,686.9861186481049,517.8729976562206,94,680,0,9
130,body,body,7_fat,left,7,b/7.jpg,1758450036599,1758450042661,6062,614.4874907434848,395.43601029520653,570.1692387420641,539.8962158478507,95,-120,-1,15
133,body,body,24_thin,left,24,b/24.jpg,1758450045666,1758450051755,6089,509.48594601753626,431.4777403237838,552.7293242326366,268.4028136337923,95,240,-1,21
136,body,body,17_thin,left,17,b/17.jpg,1758450054560,1758450060634,6074,546.9044462093465,242.74312871117493,728.7280606266709,301.9938770645774,93,620,-1,16
139,body,body,22_thin,left,22,b/22.jpg,1758450063439,1758450069498,6059,702.7548769804571,255.20428572259226,429.9145041627382,120.67970079984094,92,240,1,18
142,body,body,12_thin,left,12,b/12.jpg,1758450072701,1758450078774,6073,410.2374655445421,157.2412190744929,364.18831942098205,175.97677737209253,94,-120,-1,4
145,body,body,6_fat,left,6,b/6.jpg,1758450081579,1758450087672,6093,377.9393305297801,181.4112481972157,597.0125316006538,397.3061369566683,91,220,1,7
148,body,body,5_fat,left,5,b/5.jpg,1758450090876,1758450096992,6116,525.0298351894597,352.25236874324344,343.08172344009694,422.8251729838972,93,420,1,19
151,body,body,1_fat,left,1,b/1.jpg,1758450099798,1758450105905,6107,407.7816666885018,381.4668483853038,846.8371738018848,520.1419072749829,94,640,1,15
154,body,body,20_thin,left,20,b/20.jpg,1758450109111,1758450115178,6067,686.4896544459367,403.3305628102481,287.889035146496,317.08716219291114,95,-580,1,12
157,body,body,10_fat,left,10,b/10.jpg,1758450118383,1758450124483,6100,358.3830817579304,303.4918657833886,409.02760374877965,206.65971582912624,88,520,0,15
160,body,body,4_fat,left,4,b/4.jpg,1758450127287,1758450133343,6056,389.8613962377092,299.9552295013931,694.1509596732625,482.5964688538485,84,420,1,14
